148 	| [106] 	| -1.5601376074907178 	| -1.363127296515308 	| -1.3820216783176393
149 	| [112] 	| -2.1046276945602242 	| -1.7568506847025682 	| -2.1203739906218813
150 	| [103] 	| -3.4480204808852357 	| -2.7483404546277335 	| -2.575607627053487
151 	| [104] 	| -1.5179832529379647 	| -1.5160335413891595 	| -1.7499630363703753
152 	| [106] 	| 0.24463567006009423 	| -0.547188099811621 	| -0.18994290474347975
153 	| [101] 	| -2.4625287444731203 	| -2.450933834785504 	| -2.578178029667849
154 	| [105] 	| -3.0949894272281577 	| -2.6550840016485786 	| -2.77548495271339
155 	| [112] 	| -2.3585938944966993 	| -1.9360111558715813 	| -2.023568893203004
156 	| [103] 	| -0.9741762057212116 	| -1.0056512971437823 	| -0.9174868282387777
157 	| [104] 	| -1.8682784652665403 	| -1.78286671872667 	| -1.7359834590221734
158 	| [106] 	| -1.9325421592257555 	| -1.9917321535007937 	| -2.0570366675201446
159 	| [101] 	| -1.6231541388508102 	| -1.634584612326136 	| -1.8009607025093977
160 	| [112] 	| -0.8068212170936914 	| -1.0763095937576521 	| -0.9630627326558858
161 	| [105] 	| -2.002234853903588 	| -1.9148596634816364 	| -2.0190901807020305
162 	| [104] 	| -2.8934050750842637 	| -2.867632211285612 	| -2.94531215335221
163 	| [106] 	| -0.8068808061050526 	| -1.0110474258585642 	| -0.8026591530263179
164 	| [112] 	| -1.8141710324601252 	| -1.6554802577617422 	| -1.6606384868936603
165 	| [101] 	| -1.354746943177429 	| -1.5588164425240334 	| -1.5172950085420247
166 	| [105] 	| -2.4871497885139795 	| -2.1219070120202725 	| -2.2597819080246055
167 	| [103] 	| -1.8113118091213893 	| -1.6094561715450422 	| -1.5926168525110955
168 	| [106] 	| -2.083472667518761 	| -1.9928495304089633 	| -1.9606325592442704
169 	| [104] 	| -1.554322200708473 	| -1.4596200813227653 	| -1.4267853149473386
170 	| [112] 	| -1.708836776580009 	| -1.4769263945300826 	| -1.5160065291270317
171 	| [103] 	| -1.7234513195359098 	| -1.6341540071750484 	| -1.7395214405933461
172 	| [105] 	| -1.7245945159449811 	| -1.9912759336344055 	| -1.9580672513495094
173 	| [101] 	| -1.229578764130657 	| -1.2555033761133756 	| -1.2974594632252372
174 	| [106] 	| -2.284026020148328 	| -1.980129570067579 	| -2.051691798911427
175 	| [112] 	| -1.4555400380689956 	| -1.7466565484875247 	| -1.9458295037800015
176 	| [103] 	| -0.5794370073237163 	| -0.8866957875986986 	| -0.765916735470578
177 	| [105] 	| -2.910700166365469 	| -2.4599311809725632 	| -2.6537391360531015
178 	| [101] 	| -1.5485127270144556 	| -1.5828534380147823 	| -1.4584004201097946
179 	| [104] 	| -1.5645037589867432 	| -1.520477341755454 	| -1.8890929543256674
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
2 			| 1 				| 1 					| 1 
------------------ Run 1 Trial 3  (total trials: 3/108) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
180 	| [103] 	| -1.7215833540891254 	| -1.7332613660827552 	| -1.549952817044231
181 	| [104] 	| -2.635526778091319 	| -2.2686624698827025 	| -2.2718496656751177
182 	| [102] 	| -0.595814478763399 	| -0.9768021651647272 	| -0.9052544911304762
183 	| [105] 	| -0.4187636551390612 	| -0.7589013319498171 	| -0.6579081970760904
184 	| [111] 	| -3.975499127415181 	| -2.8078618911755555 	| -3.3094362900562584
185 	| [106] 	| -1.32942796354145 	| -1.4222269318805636 	| -1.2971790408073571
186 	| [103] 	| -1.8329190158812814 	| -2.067167682020549 	| -1.9782573173343732
187 	| [104] 	| -1.662923859630461 	| -1.8313306257281963 	| -1.8260861379726367
188 	| [111] 	| -1.2639613315929688 	| -1.0491507436342784 	| -1.0532667320244178
189 	| [106] 	| -2.0679944749984047 	| -1.9707403687264966 	| -2.0890923602152527
190 	| [105] 	| -1.4530285846891373 	| -1.8504827975467073 	| -1.9179809741817075
191 	| [102] 	| -1.0217425013404977 	| -1.3657764004879147 	| -1.3884483709792752
192 	| [103] 	| -2.3800559711812976 	| -2.002642691217909 	| -2.028513425862871
193 	| [104] 	| -0.5562309040009621 	| -0.6814015773374211 	| -0.6254344914783097
194 	| [111] 	| -1.8863300534697283 	| -1.7919849782927217 	| -1.632946079653947
195 	| [105] 	| -1.341168816695279 	| -1.7582240328626038 	| -1.7229053766334306
196 	| [102] 	| -2.0446377809896608 	| -1.9554931245375755 	| -1.9664599735641757
197 	| [106] 	| -1.602487064511038 	| -1.2942256814310198 	| -1.3852393054413397
198 	| [104] 	| -2.0585377104661626 	| -1.8124803490938042 	| -1.880021166461593
199 	| [105] 	| -1.614451280312526 	| -1.5992095477716963 	| -1.4727597855730241
200 	| [103] 	| -1.9791344373464044 	| -1.9727969460323584 	| -1.9755690071868208
201 	| [102] 	| -1.4323404435639098 	| -1.6758227244580044 	| -1.5114803786904116
202 	| [111] 	| -2.4232740095702647 	| -2.0043281927812644 	| -2.2193495062229833
203 	| [106] 	| -0.581027817573003 	| -0.8493294081186792 	| -0.9303374864371071
204 	| [103] 	| -1.1477968614569511 	| -1.2532737284070292 	| -1.3457687521074293
205 	| [104] 	| -1.8139175306637112 	| -2.3235780354161104 	| -2.07831140298217
206 	| [111] 	| -1.3395631552071037 	| -1.2912682189663753 	| -1.4015494083858262
207 	| [105] 	| -1.3205074008461481 	| -1.2991357926173246 	| -1.1542962307896985
208 	| [102] 	| -1.562369984772978 	| -1.691915079106054 	| -1.6717038166324383
209 	| [106] 	| -1.2038212522657696 	| -1.6508941169004059 	| -1.59892202625041
210 	| [111] 	| -2.756921024208067 	| -2.1053417578154336 	| -2.056114653979087
211 	| [105] 	| -1.182155829188773 	| -1.1521284563364118 	| -1.4627086363709374
212 	| [103] 	| -2.103128686855096 	| -2.0173677753828474 	| -2.1030113267132067
213 	| [102] 	| -1.2121831818275024 	| -1.624403607841467 	| -1.4397146590986234
214 	| [106] 	| -1.3053532622555934 	| -1.0326097139428874 	| -1.110923047631291
215 	| [104] 	| -1.079947160430157 	| -1.1322561849058368 	| -1.1805955661460492
216 	| [105] 	| -2.1871475628578847 	| -2.2737180784729145 	| -2.357536569333406
217 	| [102] 	| -2.25347472919702 	| -2.3789104510935895 	| -2.2825246968717874
218 	| [103] 	| -2.024589445957386 	| -1.8668744006540534 	| -1.6851815303021527
219 	| [106] 	| -1.3856684743148928 	| -1.1978777264115097 	| -1.2592241675468292
220 	| [104] 	| -1.8566492044629364 	| -1.8840996141897375 	| -1.8601543931873104
