135 	| [112] 	| -1.8498658629069393 	| -1.6321076766457325 	| -1.5490482079255627
136 	| [105] 	| -1.9666930351578644 	| -1.817041063613993 	| -1.762235118608682
137 	| [106] 	| -1.744508600639508 	| -1.7547924396368577 	| -1.8523411196375155
138 	| [101] 	| -1.494246342554285 	| -1.4709677096639653 	| -1.3266303766529959
139 	| [103] 	| -2.873982410271629 	| -2.4364098596089585 	| -2.6101684247261074
140 	| [104] 	| -1.928185622437556 	| -1.8959658290805375 	| -1.9307649281698969
141 	| [105] 	| -1.4406739486833064 	| -1.5741418440212986 	| -1.4882968141120032
142 	| [112] 	| -0.9472944520595692 	| -1.1026740902201593 	| -1.024427477091375
143 	| [106] 	| -2.184480993812803 	| -2.030485073265451 	| -2.0096867804113887
144 	| [104] 	| -2.019122953032038 	| -1.885065068650172 	| -1.8999260552739219
145 	| [105] 	| -1.7164785325235987 	| -1.303433722198035 	| -1.0464009015851627
146 	| [112] 	| -2.3420668289842417 	| -2.260918079893766 	| -2.283786821810437
147 	| [106] 	| -1.9425475166746962 	| -2.0749629668203178 	| -1.914712251254215
148 	| [101] 	| -1.9222309170136551 	| -1.6461496213551552 	| -1.984975290808816
149 	| [103] 	| -1.2890159722308434 	| -1.2749331841414553 	| -1.3364210748777277
150 	| [104] 	| -2.462941032372263 	| -2.41511660029554 	| -2.2726095690000854
151 	| [105] 	| -1.2707405528820632 	| -1.3305391475477053 	| -1.2113532154902094
152 	| [112] 	| -1.2326221332942917 	| -1.41858567502518 	| -1.540501241139351
153 	| [101] 	| -2.3295951609094057 	| -2.202336828211094 	| -2.3252259013263865
154 	| [106] 	| -1.2457526326379598 	| -1.2534526555370653 	| -1.122254457828069
155 	| [103] 	| -1.6671001481268244 	| -1.6149859132763416 	| -1.5833119788910675
156 	| [104] 	| -1.6862469520773924 	| -1.7725176954146062 	| -1.9185412702458833
157 	| [101] 	| -1.2491056756593693 	| -1.217575026418952 	| -1.0400553536420745
158 	| [106] 	| -1.5422024359514848 	| -1.4739087755771316 	| -1.754890905484979
159 	| [105] 	| -2.1093797034385644 	| -2.0409537607147734 	| -2.0716298279466985
160 	| [112] 	| -1.083075968237408 	| -1.1780884459040166 	| -1.1768886638625975
161 	| [103] 	| -1.6009037345157482 	| -1.7254198961911384 	| -1.6911349021043887
162 	| [106] 	| -2.3771661906642327 	| -2.1804814608694567 	| -2.2994464735752644
163 	| [101] 	| -1.476779013453709 	| -1.5699969075640945 	| -1.269820834409486
164 	| [104] 	| -1.4741001705397059 	| -1.3329378841607946 	| -1.5036267845305857
165 	| [105] 	| -1.6706370770405148 	| -1.9665529416982714 	| -2.063881974794455
166 	| [103] 	| -1.2342599636174878 	| -1.486796967162951 	| -1.3388056584210308
167 	| [112] 	| -1.694845105210737 	| -1.6283586257315108 	| -1.5282926638309149
168 	| [106] 	| -2.588326648232198 	| -2.2839777515486963 	| -2.4707434868017377
169 	| [104] 	| -1.5059974174632953 	| -1.6607431812657627 	| -1.6037400612298578
170 	| [105] 	| -2.442243866376765 	| -2.0315814271569037 	| -1.994455986721793
171 	| [101] 	| -1.796601346411573 	| -1.907896225877708 	| -2.1296021900654627
172 	| [103] 	| -1.4454250671766444 	| -1.340019840988477 	| -1.4496788754946233
173 	| [112] 	| -1.240018147162968 	| -1.3060891853824792 	| -1.2709029449430795
174 	| [105] 	| -1.5066081602256514 	| -1.5426676264545063 	| -1.5979281837373198
175 	| [106] 	| -2.2453739111949043 	| -2.1728139121888397 	| -2.224812191701723
176 	| [103] 	| -1.3421307957491648 	| -1.5579320620862984 	| -1.4757014081213324
177 	| [104] 	| -2.5781964047012105 	| -2.3334234810947363 	| -2.364001153602642
178 	| [101] 	| -0.9523147207989489 	| -1.0782718573143404 	| -1.035458568312823
179 	| [112] 	| -1.9481875606067978 	| -2.071739334325826 	| -2.0150830036487966
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
2 			| 3 				| 3 					| 3 
Updated all three classifiers, this trial is now included in the training set
------------------ Run 1 Trial 3  (total trials: 3/114) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
180 	| [101] 	| -2.2328614826343625 	| -1.9940472927080815 	| -2.1311033400705837
181 	| [102] 	| -1.6559936430730555 	| -1.3657586015470997 	| -1.358584484548285
182 	| [106] 	| -1.96846370999623 	| -1.8751015308605612 	| -1.9217268943974142
183 	| [104] 	| -2.3436231231730593 	| -2.0321491609421667 	| -2.1949727420985283
184 	| [113] 	| -1.3326268955903269 	| -1.3895746190017955 	| -1.2517362803777448
185 	| [105] 	| -1.61450915763438 	| -1.6660511957528328 	| -1.6011410286436107
186 	| [102] 	| -2.100455414550581 	| -1.9205770753394233 	| -1.9392772530943565
187 	| [106] 	| -0.9230155238760179 	| -1.2881625825407457 	| -1.2797748992277969
188 	| [104] 	| -2.0233811396916392 	| -2.0267925018608253 	| -1.9869858871702102
189 	| [105] 	| -1.1985594053627482 	| -1.5474240292334904 	| -1.6322640364821688
190 	| [113] 	| -1.3432743210785312 	| -1.3193637294093814 	| -1.2949501527251828
191 	| [101] 	| -1.4736759931154857 	| -1.7332453341908138 	| -1.5950499597707315
192 	| [104] 	| -1.9980278407959808 	| -2.030255132857436 	| -2.1433289860875857
193 	| [105] 	| -1.2575872191775732 	| -1.5054018321541391 	| -1.40225068874269
194 	| [106] 	| -2.0353725251554637 	| -1.7026591554140307 	| -1.6143527054434381
195 	| [101] 	| -2.094003056776816 	| -1.935150141966463 	| -2.0414227005091288
196 	| [113] 	| -1.6674619329337586 	| -1.6936335589463452 	| -1.7494487149867406
197 	| [102] 	| -1.172040085265923 	| -1.421566723537227 	| -1.1627152854872527
198 	| [105] 	| -1.7267952033741572 	| -1.9010336608406777 	| -1.7537301315763294
199 	| [101] 	| -2.0251367604050405 	| -2.0658930051976614 	| -2.264322695254695
200 	| [113] 	| -1.0645331723607345 	| -1.009405778975255 	| -0.8097044539407368
201 	| [106] 	| -2.292606160362424 	| -2.325871302758099 	| -2.3557174913095977
202 	| [102] 	| -1.6049593937950626 	| -1.9299846201363229 	| -1.8645290940770947
203 	| [104] 	| -0.9961162730046849 	| -0.8319310561614436 	| -0.7558667885023134
204 	| [101] 	| -2.013193955339791 	| -1.9846713070900914 	| -1.9633656654297489
