120 	| [106] 	| -3.9362556342189428 	| -3.3622494580194555 	| -3.8912162570734643
121 	| [113] 	| -2.0049818806836712 	| -2.1575220592887674 	| -2.1948757224520232
122 	| [105] 	| -0.9006549847640193 	| -1.2354415295833088 	| -1.0212191486938111
123 	| [102] 	| -1.476854774291878 	| -1.3948509798583135 	| -1.5463737886475437
124 	| [104] 	| -3.630910814440242 	| -2.8305572299438113 	| -3.131079612820735
125 	| [101] 	| -0.7911835081241941 	| -1.177448574356533 	| -0.801148530099149
126 	| [105] 	| -1.1966532462380894 	| -1.2329447546255856 	| -1.18755988458152
127 	| [106] 	| -3.157675945502645 	| -2.5933636452017748 	| -3.0418279675162125
128 	| [113] 	| -2.098967625708139 	| -1.9012898647593888 	| -1.847352292955169
129 	| [101] 	| -1.9630802441635136 	| -1.745242475892946 	| -1.7524819972756356
130 	| [104] 	| -1.2750336975641836 	| -1.2593688236342668 	| -1.3487449703803596
131 	| [102] 	| -1.8038878320657175 	| -2.2455618659678125 	| -1.9413486058771177
132 	| [105] 	| -1.999882552365852 	| -2.026249198397521 	| -2.017681511234638
133 	| [113] 	| -1.6526688413103217 	| -1.5024327787117704 	| -1.7752845980451941
134 	| [106] 	| -1.6549290021897778 	| -1.6434511420636206 	| -1.6338146579683845
135 	| [104] 	| -0.6016275307242938 	| -1.3524142402268269 	| -0.9124955923376543
136 	| [102] 	| -0.6666119805975956 	| -0.8064199842225679 	| -1.1602236508528048
137 	| [101] 	| -1.5393690976936014 	| -1.5892075534806347 	| -1.5588874765979326
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
3 			| 2 				| 2 					| 2 
------------------ Run 1 Trial 3  (total trials: 3/108) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
138 	| [103] 	| -1.4849162269539915 	| -1.7791486695231375 	| -1.468733812165075
139 	| [106] 	| -1.5746752558615484 	| -1.2318194436888523 	| -1.5656422376337
140 	| [102] 	| -1.783330291824298 	| -1.697734498485806 	| -1.6365415641564762
141 	| [104] 	| -2.053378485055755 	| -1.8927236868535502 	| -1.6941328547717103
142 	| [111] 	| -1.3510379113571385 	| -1.4282185557886318 	| -1.3339884361381116
143 	| [105] 	| -2.4295142230265316 	| -2.407454742975859 	| -2.7212727644012182
144 	| [103] 	| -1.6851094686044703 	| -1.892375760269493 	| -1.726005073379919
145 	| [104] 	| -2.4159145860535016 	| -1.7645212214115478 	| -1.6019798324234789
146 	| [106] 	| -1.6305275425434467 	| -1.7379081953769608 	| -2.1840873890071717
147 	| [111] 	| -0.23139184936599255 	| -0.784151692707824 	| -0.3708316679468716
148 	| [105] 	| -2.4525319441768647 	| -2.3293015755870674 	| -2.5796557645595986
149 	| [102] 	| -2.6837696782394653 	| -2.2699567829455853 	| -2.755929179049861
150 	| [103] 	| -1.4598095563500464 	| -1.6477454301616714 	| -1.4543553640346965
151 	| [104] 	| -0.6437555925308778 	| -1.071817362132258 	| -0.7728347356286134
152 	| [106] 	| -1.7773369474142322 	| -1.3844690103108017 	| -1.6266405495178693
153 	| [111] 	| -1.9822483030884253 	| -1.6915447968358404 	| -1.7831948031798377
