INFO:root:New log file
INFO:root:Trained all three classifiers on the calibration data.
INFO:root:Online simulation starts
INFO:root:Number of online trials: 10, which is 1.6666666666666667 runs
INFO:root:------------------ Run 1 Trial 2  (total trials: 1/10) ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:148 	| [105] 	| -0.9167740782157308 	| -1.5306604548332265 	| -1.3624246812044403
INFO:root:149 	| [113] 	| -1.433003469690562 	| -1.2683478205841225 	| -1.3733711504940425
INFO:root:150 	| [106] 	| -2.0096924279839254 	| -1.7317458640028154 	| -1.7595329850930816
INFO:root:151 	| [101] 	| -2.7403207295535017 	| -2.370905509725866 	| -2.559896390546676
INFO:root:152 	| [105] 	| -0.9090803461318464 	| -1.3931351419079 	| -1.2931043648214309
INFO:root:153 	| [102] 	| -5.076779235301387 	| -2.02860743529673 	| -2.2550238023151348
INFO:root:154 	| [113] 	| -0.9477813782750389 	| -1.196588332062066 	| -1.106578143085183
INFO:root:155 	| [104] 	| -2.897426324203545 	| -2.0746885399765804 	| -2.186273002613928
INFO:root:156 	| [105] 	| -2.438374543229798 	| -1.4754775702483762 	| -1.4792045971521794
INFO:root:157 	| [101] 	| -1.6202690743191208 	| -1.411767556535731 	| -1.4549820120824108
INFO:root:158 	| [113] 	| -1.5749992153144043 	| -1.870805812224381 	| -1.9366027004843056
INFO:root:159 	| [102] 	| -1.8092138910143547 	| -1.1458230812352124 	| -1.2132095453548744
INFO:root:160 	| [104] 	| -1.9797124738572685 	| -1.9116806493777452 	| -1.999248873019352
INFO:root:161 	| [106] 	| -3.140365510340642 	| -2.09050388161251 	| -2.0536848266562844
INFO:root:162 	| [113] 	| -2.40786067885926 	| -1.9010495366350333 	| -1.9250095857962555
INFO:root:163 	| [102] 	| -2.513611195219364 	| -2.190860522628635 	| -2.3383234521778
INFO:root:164 	| [105] 	| -1.2360852715701656 	| -0.885006421499121 	| -0.8391161310036832
INFO:root:165 	| [101] 	| -4.477557265646624 	| -2.9845614445811695 	| -3.1957468271673366
INFO:root:166 	| [104] 	| -1.5606796375790197 	| -1.7923186214988447 	| -1.7250826547999423
INFO:root:167 	| [106] 	| -0.7029312323450796 	| -1.6908601514273707 	| -1.679894592189013
INFO:root:168 	| [102] 	| -2.2129634313484874 	| -1.8934578576781873 	| -1.9753325885166542
INFO:root:169 	| [104] 	| -2.8498159469400024 	| -2.3102545318050716 	| -2.3849008819284614
INFO:root:170 	| [113] 	| -0.5042559370932422 	| -1.1147944071982365 	| -1.1291741044992536
INFO:root:171 	| [105] 	| -1.599099894314365 	| -1.5609407326028313 	| -1.531115734591444
INFO:root:172 	| [106] 	| -2.1324180060208184 	| -2.2361739138602985 	| -2.2107139399909785
INFO:root:173 	| [101] 	| -1.7945319223863427 	| -2.28772510757435 	| -2.0104785808645853
INFO:root:174 	| [102] 	| -2.422137716515776 	| -1.685036406053785 	| -1.8674625828672815
